Ordem,OS,OS UNICA,FINAL,EQUIPE,RESPONSAVEL,CANAL,STATUS,CODIGO/CLIENTE,PRODUTO,QTD,DATA DE ENTREGA,SEMANA NO ANO,MES ENTREGA,ANO ENTREGA,ANO-MES entrega,CATEGORIA CONVERSOR,QUANTIDADE PONDERADA
1,10050-1,10050,1,EQ-TODOS,,ATACADO,ENTREGA TOTAL,8132,"PLANNER PERMANENTE OFFICE MINERAIS SEMANAL 30X11,5 MARMORE CINZA","38,00",23/06/2023,2023-26,6,2023,6-2023,Wire-o Simples,38
2,10067-3,10067,3,EQ-6,,ATACADO,ENTREGA TOTAL,8606,REFIL CADERNO CRIATIVO ARGOLADO OFFICE 40FLS POLEN 80G PONTADO A5,"900,00",23/12/2022,2022-52,12,2022,12-2022,Refil,270
3,10074-2,10074,2,,,AMAZON,ENTREGA TOTAL,3472,#N/A,"10,00",21/10/2022,2022-43,10,2022,10-2022,outros,10
4,10086-3,10086,3,,,SITE,ENTREGA TOTAL,8613,REFIL CADERNO CRIATIVO ARGOLADO OFFICE 40FLS POLEN 80G QUADRICULADO A5,"102,00",05/10/2022,2022-41,10,2022,10-2022,Refil,"30,6"
5,10100-3,10100,3,,,ATACADO,ENTREGA TOTAL,1858,CADERNETA CICEROS CLASSICA S PAUTA 14X21 VERMELHO/VERMELHO,"402,00",08/07/2022,2022-28,7,2022,7-2022,Brochura,402
6,10168-3,10168,3,,,ATACADO,ENTREGA TOTAL,7198,PLANNER PERMANENTE REVISTA PLANEJAMENTO CLASSICA MENSAL 19X25 PRETA,"200,00",14/11/2022,2022-47,11,2022,11-2022,Revistas(Individuais),120
7,10168-4,10168,4,,,SITE,ENTREGA TOTAL,7198,PLANNER PERMANENTE REVISTA PLANEJAMENTO CLASSICA MENSAL 19X25 PRETA,"51,00",23/01/2023,2023-05,1,2023,1-2023,Revistas(Individuais),"30,6"
8,10191-3,10191,3,,,ATACADO,ENTREGA TOTAL,3763,CADERNO KRAFT PONTADO - 21X28 KRAFT,"200,00",18/01/2023,2023-04,1,2023,1-2023,Linha Kraft(Produtos em papelão),120
9,10197-3,10197,3,,,ATACADO,ENTREGA TOTAL,2575,CADERNO KRAFT ORIGINAL SEM PAUTA 21X28 KRAFT,"350,00",20/10/2022,2022-43,10,2022,10-2022,Linha Kraft(Produtos em papelão),210
10,10220-4,10220,4,,,ATACADO,ENTREGA TOTAL,6726,CADERNETA CICEROS CLÁSSICA PASTEL PONTADO 14X21 AZUL,"150,00",26/10/2022,2022-44,10,2022,10-2022,Brochura,150
