Ordem,OS,OS UNICA,FINAL,EQUIPE,RESPONSAVEL,CANAL,STATUS,CODIGO/CLIENTE,PRODUTO,QTD,DATA DE ENTREGA,SEMANA NO ANO,MES ENTREGA,ANO ENTREGA,ANO-MES entrega,CATEGORIA CONVERSOR,QUANTIDADE PONDERADA,FAMILIA
1,10050-1,10050,1,EQ-TODOS,TODOS,ATACADO,ENTREGA TOTAL,8132,"PLANNER PERMANENTE OFFICE MINERAIS SEMANAL 30X11,5 MARMORE CINZA",38,23/06/2023,2023-26,6,2023,2023-06,Wire-o Simples,38,MINERAIS
7,10168-4,10168,4,EQ-TODOS,TODOS,SITE,ENTREGA TOTAL,7198,PLANNER PERMANENTE REVISTA PLANEJAMENTO CLASSICA MENSAL 19X25 PRETA,51,23/01/2023,2023-05,1,2023,2023-01,Revistas(Individuais),31,CLÁSSICA
8,10191-3,10191,3,EQ-TODOS,TODOS,ATACADO,ENTREGA TOTAL,3763,CADERNO KRAFT PONTADO - 21X28 KRAFT,200,18/01/2023,2023-04,1,2023,2023-01,Linha Kraft(Produtos em papelão),120,KRAFT
14,10316-4,10316,4,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,9031,REFIL CADERNO CRIATIVO ARGOLADO 40FLS OFFSET 90G PONTADO 17X24,320,13/01/2023,2023-03,1,2023,2023-01,Refil,96,Refil
15,10347-2,10347,2,EQ-5,SUELLEN,ATACADO,ENTREGA TOTAL,7883,#N/A,152,05/01/2023,2023-02,1,2023,2023-01,outros,152,OUTRO
23,10396-4,10396,4,EQ-5,SUELLEN,ATACADO,ENTREGA TOTAL,8385,#N/A,70,04/01/2023,2023-02,1,2023,2023-01,outros,70,OUTRO
24,10399-3,10399,3,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,3763,CADERNO KRAFT PONTADO - 21X28 KRAFT,400,30/01/2023,2023-06,1,2023,2023-01,Linha Kraft(Produtos em papelão),240,KRAFT
33,10502-3,10502,3,EQ-5,SUELLEN,ATACADO,ENTREGA TOTAL,7890,PLANNER PERMANENTE WIRE-O ASTRAL SEMANAL NOTAS A5 BOREAL,64,05/01/2023,2023-02,1,2023,2023-01,Wire-o sem fita,77,ASTRAL
35,10511-2,10511,2,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,2605,CADERNETA KRAFT SEM PAUTA 14X21,549,25/01/2023,2023-05,1,2023,2023-01,Linha Kraft(Produtos em papelão),329,KRAFT
36,10514-3,10514,3,EQ-7,MANU,ATACADO,ENTREGA TOTAL,8101,"PLANNER PERMANENTE OFFICE ORLA SEMANAL 30X11,5 ARPOADOR DIAGONAL",114,06/01/2023,2023-02,1,2023,2023-01,Wire-o Simples,114,ORLA
41,10567-4,10567,4,EQ-2,PEDRO,ATACADO,ENTREGA TOTAL,1538,CADERNO CRIATIVO ARGOLADO MINERAIS PAUTADO 17X24 MARMORE BRANCO,100,06/01/2023,2023-02,1,2023,2023-01,Argolados,150,MINERAIS
46,10590-2,10590,2,EQ-5,SUELLEN,ATACADO,ENTREGA TOTAL,7906,#N/A,46,09/01/2023,2023-03,1,2023,2023-01,outros,46,OUTRO
47,10596-4,10596,4,EQ-7,MANU,ATACADO,ENTREGA TOTAL,8118,#N/A,30,06/01/2023,2023-02,1,2023,2023-01,outros,30,OUTRO
57,10655-2,10655,2,EQ-1,CAIO,ATACADO,ENTREGA TOTAL,8347,#N/A,10,05/01/2023,2023-02,1,2023,2023-01,outros,10,OUTRO
58,10662-3,10662,3,EQ-8,ELIANE,ATACADO,ENTREGA TOTAL,8934,#N/A,15,04/01/2023,2023-02,1,2023,2023-01,outros,15,OUTRO
60,10663-4,10663,4,EQ-4,ROSE,SITE,ENTREGA TOTAL,9016,#N/A,80,19/01/2023,2023-04,1,2023,2023-01,outros,80,OUTRO
70,10704-2,10704,2,EQ-2,PEDRO,ATACADO,ENTREGA TOTAL,3366,#N/A,100,06/01/2023,2023-02,1,2023,2023-01,outros,100,OUTRO
84,10734-4,10734,4,EQ-5,SUELLEN,SITE,ENTREGA TOTAL,3220,CICEROS FLEX PAUTADO 14X21 PRETO / PRETO,30,17/01/2023,2023-04,1,2023,2023-01,Brochura,30,CLÁSSICA
86,10741-3,10741,3,EQ-1,CAIO,ATACADO,ENTREGA TOTAL,518,PLANNER PERMANENTE WIRE-O KRAFT SEMANAL A5 KRAFT,300,11/01/2023,2023-03,1,2023,2023-01,Wire-o sem fita,360,KRAFT
87,10741-4,10741,4,EQ-5,SUELLEN,ATACADO,ENTREGA TOTAL,518,PLANNER PERMANENTE WIRE-O KRAFT SEMANAL A5 KRAFT,250,06/01/2023,2023-02,1,2023,2023-01,Wire-o sem fita,300,KRAFT
91,10764-2,10764,2,EQ-4,ROSE,SITE,ENTREGA TOTAL,8866,PLANNER PERMANENTE WIRE-O CLÁSSICA SEMANAL NOTAS A5 CAFÉ,100,19/01/2023,2023-04,1,2023,2023-01,Wire-o sem fita,120,CLÁSSICA
93,10766-2,10766,2,EQ-1,CAIO,ATACADO,ENTREGA TOTAL,8973,PLANNER PERMANENTE WIRE-O CLASSICA SEMANAL A5 PRETO,200,05/01/2023,2023-02,1,2023,2023-01,Wire-o sem fita,240,CLÁSSICA
735,11124-4,11124,4,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,8606,REFIL CADERNO CRIATIVO ARGOLADO OFFICE 40FLS POLEN 80G PONTADO A5,177,24/01/2023,2023-05,1,2023,2023-01,Refil,53,Refil
745,111287-1,11128,1,EQ-TODOS,TODOS,PROTOTIPO,ENTREGA TOTAL,1408,#N/A,28,31/01/2023,2023-06,1,2023,2023-01,outros,28,OUTRO
804,11155-3,11155,3,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,9093,REFIL CADERNO CRIATIVO ARGOLADO 40FLS POLEN 80G SEM PAUTA 17X24,779,23/02/2023,2023-09,2,2023,2023-02,Refil,234,Refil
805,11155-3,11155,3,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,9093,REFIL CADERNO CRIATIVO ARGOLADO 40FLS POLEN 80G SEM PAUTA 17X24,37,01/03/2023,2023-10,3,2023,2023-03,Refil,11,Refil
833,11167-3,11167,3,EQ-TODOS,TODOS,SITE,ENTREGA TOTAL,1132,PLANNER PERMANENTE REVISTA PLANEJAMENTO CLÁSSICA MENSAL19X25 CARAMELO / CAFÉ,51,23/01/2023,2023-05,1,2023,2023-01,Revistas(Individuais),31,CLÁSSICA
842,11172-2,11172,2,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,2568,CADERNO KRAFT ORIGINAL SEM PAUTA 20X20 KRAFT,1200,13/01/2023,2023-03,1,2023,2023-01,Linha Kraft(Produtos em papelão),720,KRAFT
