,jan.-23,fev.-23,mar.-23,abr.-23,mai.-23,jun.-23,jul.-23,ago.-23,set.-23,out.-23,nov.-23,dez.-23,jan.-24,fev.-24,mar.-24,abr.-24,mai.-24,jun.-24,jul.-24,ago.-24,set.-24,out.-24,nov.-24,dez.-24,jan.-25,fev.-25,mar.-25,abr.-25,mai.-25,jun.-25,jul.-25
Bruto c/ Férias,  10338.66 ,  12459.84 ,  8947.49 ,  10616.39 ,  9095.10 ,  8999.74 ,  10200.33 ,  8250.79 ,  7902.36 ,  6478.76 ,  7736.25 ,  5640.52 ,  5625.30 ,  4203.03 ,  3812.39 ,  4533.49 ,  6358.56 ,  6683.77 ,  8627.58 ,  8719.02 ,  7414.62 ,  7323.86 ,  8298.53 ,  7421.46 ,  7881.39 ,  8067.53 ,  9597.80 ,  8197.84 ,  10278.71 ,  10897.39 ,  11621.54 
Gratificação,  626.00 ,  250.70 ,  808.84 ,  404.42 ,  808.84 ,  808.84 ,  808.84 ,  808.84 ,  808.84 ,  558.14 ,  558.14 ,,,,,,,,  2230.00 ,  2249.50 ,  2230.00 ,  2230.00 ,  2230.00 ,  2230.00 ,  2290.02 ,  2341.50 ,  1483.85 ,  2341.50 ,  2341.50 ,  2341.50 ,  2341.50 
1/3 Férias + 13º,  1229.04 ,  1416.76 ,  1101.54 ,  1224.53 ,  1100.44 ,  1089.84 ,  1248.51 ,  1066.42 ,  995.90 ,  835.16 ,  988.25 ,  648.51 ,  630.83 ,  547.13 ,  431.53 ,  545.63 ,  744.64 ,  889.77 ,  1298.17 ,  1270.49 ,  1091.31 ,  1095.02 ,  1341.56 ,  1136.21 ,  1300.75 ,  1301.99 ,  1233.41 ,  1272.10 ,  1544.20 ,  1857.11 ,  1881.56 
FGTS,  834.83 ,  1000.01 ,  728.40 ,  849.31 ,  727.61 ,  719.98 ,  834.22 ,  703.12 ,  652.34 ,  556.66 ,  666.89 ,  466.93 ,  454.20 ,  393.93 ,  310.70 ,  392.86 ,  536.14 ,  640.64 ,  752.33 ,  734.80 ,  607.34 ,  606.13 ,  775.39 ,  620.58 ,  645.07 ,  655.44 ,  769.34 ,  656.13 ,  825.39 ,  871.79 ,  933.92 
FGTS + Rescisão,,  3309.96 ,,,,,,,,  3997.67 ,,  11435.50 ,,  6632.05 ,,,,,,,,,  5084.62 ,,,,,,,,
PJ,,,,,,,,,,,  4000.00 ,  4519.09 ,  4467.81 ,  4474.54 ,  4488.66 ,  4269.88 ,  4441.29 ,  4000.00 ,  4000.00 ,  4000.00 ,  4000.00 ,  4000.00 ,  4300.00 ,  4000.00 ,  4000.00 ,  4000.00 ,  4400.00 ,  4400.00 ,  4400.00 ,  4400.00 ,  4400.00 
Comissão Vendas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plano de Saude,  113.76 ,  113.76 ,  113.76 ,  136.39 ,  136.39 ,  136.39 ,  136.39 ,  136.39 ,  136.39 ,  136.39 ,  136.39 ,,,,,,,,,,,,,,,,,,,,
Vale Alimentação,  2766.24 ,  2422.72 ,  1699.52 ,  2637.18 ,  1022.04 ,  2522.52 ,  2331.42 ,  2790.06 ,  1891.89 ,  1930.11 ,  1796.34 ,  2006.55 ,  1471.47 ,  1452.36 ,  1361.58 ,  1291.55 ,  1788.30 ,  2245.31 ,  2384.40 ,  2543.36 ,  2424.14 ,  2344.66 ,  2066.48 ,  1490.25 ,  2026.74 ,  1947.26 ,  1218.00 ,  1575.00 ,  2184.00 ,  2793.00 ,  2499.00 
Desconto  VT,422.78,333.77,421.56,214.02,467.35,467.35,472.63,395.09,486.89,425.35,443.06,224.32,330.51,245.69,228.75,211.80,372.77,420.78,513.54,524.16,527.66,439.44,410.48,351.89,470.52,443.25,212.97,424.89,559.79,653.13,697.29
VT,  1846.50 ,  1772.50 ,  999.80 ,  1787.10 ,  656.10 ,  1709.40 ,  1553.90 ,  1890.70 ,  1382.00 ,  1329.70 ,  1182.60 ,  1053.20 ,  629.60 ,  818.90 ,  567.60 ,  559.00 ,  774.00 ,  971.80 ,  1032.00 ,  1266.10 ,  1214.50 ,  1214.90 ,  1077.10 ,  792.90 ,  1059.90 ,  1071.30 ,  647.90 ,  878.80 ,  1143.50 ,  1416.10 ,  1290.90 
Total,  17332.25 ,  22412.48 ,  13977.79 ,  17441.30 ,  13079.17 ,  15519.36 ,  16640.98 ,  15251.23 ,  13282.83 ,  15397.24 ,  16621.80 ,  25545.98 ,  12948.70 ,  18276.25 ,  10743.71 ,  11380.61 ,  14270.16 ,  15010.51 ,  19810.94 ,  20259.11 ,  18454.25 ,  18375.13 ,  24763.20 ,  18143.00 ,  18665.27 ,  17789.11 ,  19725.23 ,  19770.18 ,  23039.11 ,  23923.76 ,  24271.13 
Hora Extra,  96.68 ,  40.34 ,  157.53 ,  53.55 ,  248.88 ,  72.63 ,  227.44 ,  538.18 ,  251.90 ,  479.53 ,  599.86 ,  196.08 ,  52.17 ,  721.11 ,  71.39 ,  377.21 ,  343.22 ,  1324.18 ,  1515.98 ,  702.78 ,  424.87 ,  631.08 ,  1545.51 ,  574.42 ,  2021.77 ,  1649.83 ,  1146.05 ,  3815.44 ,  2148.63 ,  4465.23 ,  4029.46 
Free,,,,,,,,,,,,,  1260.00 ,  3420.00 ,  3690.00 ,  1800.00 ,  910.00 ,,,,,,,,,,  2250.00 ,,  1620.00 ,  3560.00 ,  2200.00 
Total geral:,  17428.93 ,  22452.82 ,  14135.32 ,  17494.85 ,  13328.05 ,  15591.99 ,  16868.42 ,  15789.41 ,  13534.73 ,  15876.77 ,  17221.66 ,  25742.06 ,  14260.87 ,  22417.36 ,  14505.10 ,  13557.82 ,  15523.38 ,  16334.69 ,  21326.92 ,  20961.89 ,  18879.12 ,  19006.21 ,  26308.71 ,  18717.42 ,  20687.04 ,  19438.94 ,  23121.28 ,  23585.62 ,  26807.74 ,  31948.99 ,  30500.59 
 Dias Úteis Trabalhados,  20 ,  16 ,  23 ,  8 ,  22 ,  22 ,  20 ,  22 ,  20 ,  20 ,  19 ,  20 ,  22 ,  17 ,  21 ,  5 ,  21 ,  20 ,  23 ,  23 ,  21 ,  22 ,  22 ,  22 ,  22 ,  22 ,  22 ,  22 ,  22 ,  22 ,  22 
