,jan.-23,fev.-23,mar.-23,abr.-23,mai.-23,jun.-23,jul.-23,ago.-23,set.-23,out.-23,nov.-23,dez.-23,jan.-24,fev.-24,mar.-24,abr.-24,mai.-24,jun.-24,jul.-24,ago.-24,set.-24,out.-24,nov.-24,dez.-24,jan.-25,fev.-25,mar.-25,abr.-25,mai.-25,jun.-25,jul.-25
Bruto c/ Férias,68402.11,77161.82,69049.72,82833.50,66401.48,67425.89,75026.72,77062.53,70080.22,68142.87,70214.06,75667.01,73900.88,78150.95,76966.81,98015.46,78524.97,75490.07,72020.16,72412.04,70487.28,70257.05,69705.42,78164.12,86377.91,93942.16,104825.17,84996.44,85095.18,90849.79,92884.70
Gratificação,4850.80,4833.10,5286.81,3761.06,5556.36,5556.36,6556.36,15184.66,12588.32,10953.31,6556.36,6276.16,8103.79,13234.24,8011.06,7225.57,6681.27,5823.63,6045.48,5581.06,5581.11,5581.11,5610.81,5625.27,5581.11,5860.14,4905.44,6584.98,6584.98,6584.98,6584.98
1/3 Férias + 13º,7655.80,9506.12,8646.66,9621.62,7995.32,8109.14,12769.75,13412.45,11128.34,11561.60,11610.63,11512.48,10111.93,11711.30,9970.72,11863.58,9861.81,9803.32,10434.69,9833.51,9687.73,9877.18,9655.31,10660.13,13676.73,14866.37,15156.26,11375.21,10614.19,14613.57,18351.98
FGTS,5512.18,6457.76,5802.65,6626.68,5312.12,5394.07,8669.71,8442.19,7005.34,7448.08,7298.58,7469.26,6493.38,7192.70,6538.03,7963.73,6518.35,6349.81,6607.02,6346.03,5833.69,5983.93,5674.17,6489.59,7036.83,7516.39,8405.62,6823.04,6815.85,7292.03,7455.93
FGTS + Rescisão,,19807.34,,5833.78,,,8184.52,2181.90,1728.13,,,,,,8114.11,,7818.56,,14814.92,,17239.86,19261.74,,,372.75,,11459.81,,4404.06,5318.56,2704.16
PJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comissão Vendas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plano de Saúde,280.55,280.55,280.55,262.34,262.34,262.34,262.34,262.34,262.34,262.34,262.34,262.34,262.34,262.34,262.34,262.34,262.34,110.09,110.09,110.09,110.09,110.09,110.09,110.09,110.09,110.09,110.09,110.09,110.09,141.39,141.39
Vale Alimentação,16199.68,17700.32,13795.04,16606.59,6913.80,14026.74,14294.28,23008.44,18250.05,20581.47,19836.18,18823.35,19033.56,16071.51,17308.57,10074.09,17406.12,18598.32,19492.47,18081.70,16988.85,19512.34,18896.37,18459.23,20466.10,19075.20,13440.00,21714.00,20664.00,21609.00,27195.00
Desconto  VT,2884.56,2499.81,2563.72,1273.96,2855.28,2837.94,3533.78,3554.39,3922.86,3827.74,4119.19,4069.42,4099.57,4090.47,3871.89,1733.12,3914.86,4004.39,3945.05,3811.02,3867.22,3851.53,4112.47,4139.33,4479.65,4503.55,2338.95,4444.69,4813.96,4928.89,4844.21
VT,8120.65,8642.65,9367.95,7932.00,9243.90,3732.60,7715.80,7614.00,12590.90,9886.70,11296.70,10917.90,10022.90,10156.60,8584.50,8620.10,5229.60,9045.20,9527.70,9920.80,9387.10,8900.00,10200.90,10074.20,9507.30,10471.00,10274.90,6704.40,10132.20,10728.70,13876.70
