,jan.-23,fev.-23,mar.-23,abr.-23,mai.-23,jun.-23,jul.-23,ago.-23,set.-23,out.-23,nov.-23,dez.-23,jan.-24,fev.-24,mar.-24,abr.-24,mai.-24,jun.-24,jul.-24,ago.-24,set.-24,out.-24,nov.-24,dez.-24,jan.-25,fev.-25,mar.-25,abr.-25,mai.-25,jun.-25,jul.-25
Bruto c/ Férias,  2178.81 ,  1645.19 ,  1652.06 ,  1944.96 ,  1917.56 ,  2358.26 ,  1678.38 ,  1678.38 ,  1572.49 ,  1678.38 ,  1678.38 ,  1691.84 ,  828.74 ,  1646.87 ,  1678.38 ,  2000.52 ,  1678.38 ,  1678.38 ,  1678.38 ,  1657.17 ,  1678.38 ,  1678.38 ,  1678.38 ,  1658.39 ,  2048.30 ,  1815.09 ,  2169.71 ,  1762.30 ,  1762.30 ,  1762.30 ,  1762.30 
Gratificação,  3326.16 ,  2572.74 ,  2572.74 ,  1286.37 ,  2572.74 ,  2572.74 ,  2572.74 ,  2572.74 ,  2572.74 ,  2572.74 ,  2572.74 ,  2572.74 ,  2572.74 ,  2675.64 ,  2675.64 ,  3121.58 ,  2675.64 ,  2675.64 ,  2675.64 ,  2733.94 ,  2675.64 ,  2675.64 ,  2675.64 ,  2675.64 ,  2675.64 ,  2809.42 ,  1592.00 ,  2809.42 ,  2809.42 ,  2809.42 ,  2809.42 
1/3 Férias + 13º,  611.66 ,  468.66 ,  469.42 ,  359.04 ,  498.92 ,  547.89 ,  574.74 ,  472.70 ,  460.58 ,  472.90 ,  521.32 ,  496.31 ,  377.94 ,  480.28 ,  496.27 ,  248.94 ,  665.61 ,  589.73 ,  530.87 ,  487.90 ,  505.43 ,  503.95 ,  521.21 ,  481.56 ,  558.97 ,  553.35 ,  421.94 ,  575.59 ,  801.08 ,  748.42 ,  608.85 
FGTS,  174.30 ,  131.62 ,  132.16 ,  155.60 ,  153.40 ,  188.66 ,  207.99 ,  134.52 ,  125.80 ,  134.67 ,  169.53 ,  151.52 ,  66.30 ,  131.75 ,  143.26 ,  72.21 ,  185.96 ,  163.68 ,  147.34 ,  132.57 ,  140.28 ,  140.00 ,  144.66 ,  132.67 ,  173.75 ,  156.26 ,  171.53 ,  159.75 ,  194.11 ,  188.47 ,  149.12 
FGTS + Rescisão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJ,  2500.00 ,  2500.00 ,  2500.00 ,  2500.00 ,  1000.00 ,  2583.33 ,  2749.99 ,  2500.00 ,  2464.80 ,  2500.00 ,  2500.00 ,  2583.33 ,  4000.00 ,  4000.00 ,  4095.00 ,  4095.00 ,  4185.00 ,  4095.00 ,  4095.00 ,  4095.00 ,  8190.00 ,,  4095.00 ,  4095.00 ,  4095.00 ,  4165.00 ,  4165.00 ,  4165.00 ,  4165.00 ,  4165.00 ,  4165.00 
Comissão Vendas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plano de Saúde,  95.27 ,  95.27 ,  95.27 ,  74.55 ,  74.55 ,  74.55 ,  74.55 ,  74.55 ,  74.55 ,  74.55 ,  74.55 ,  74.55 ,  74.55 ,  74.55 ,  74.55 ,  74.55 ,  74.55 ,  64.99 ,  64.99 ,  64.99 ,  64.99 ,  64.99 ,  64.99 ,  64.99 ,  64.99 ,  64.99 ,  64.99 ,  64.99 ,  64.99 ,  99.78 ,  99.78 
Vale Alimentação,  361.60 ,  397.76 ,  379.68 ,  325.44 ,  439.53 ,  180.36 ,  420.42 ,  401.31 ,  477.75 ,  382.20 ,  401.31 ,  382.20 ,  401.31 ,  420.42 ,  363.09 ,  412.60 ,  218.57 ,  437.14 ,  417.27 ,  457.01 ,  437.14 ,  417.27 ,  457.01 ,  417.27 ,  317.92 ,  178.83 ,  357.66 ,  294.00 ,  441.00 ,  441.00 ,  483.00 
Desconto  VT,2.46,80.56,80.56,40.28,87.28,87.28,87.28,87.28,100.70,100.70,100.70,100.70,50.35,100.70,100.70,50.35,100.70,100.70,100.70,100.70,100.70,100.70,100.70,100.70,50.35,98.69,59.92,105.74,105.74,105.74,105.74
