Ordem,OS,OS UNICA,FINAL,EQUIPE,RESPONSAVEL,CANAL,STATUS,CODIGO/CLIENTE,PRODUTO,QTD,DATA DE ENTREGA,SEMANA NO ANO,MES ENTREGA,ANO ENTREGA,ANO-MES entrega,CATEGORIA CONVERSOR,QUANTIDADE PONDERADA
6489.0,14860-1,14860,1,EQ-2,FRAN,ATACADO,ENTREGA TOTAL,8372,CICEROS COLECAO RIO SEM PAUTA 14X21 JARDIM BOTANICO,"150,00",26/02/2025,2025-09,2,2025,2-2025,Brochura,150
7004.0,14893-1,14893,1,EQ-1,RAYANE,ATACADO,ENTREGA TOTAL,1827,CADERNETA CICEROS CLASSICA SEM PAUTA 14X21 PRETO/PRETO,"300,0",01/10/2024,2024-40,10,2024,10-2024,Brochura,300
7005.0,14913-1,14913,1,EQ-1,RAYANE,ATACADO,ENTREGA TOTAL,6726,CADERNETA CICEROS CLÁSSICA PASTEL PONTADO 14X21 AZUL,"250,0",01/10/2024,2024-40,10,2024,10-2024,Brochura,250
7006.0,15173-1,15173,1,EQ-1,RAYANE,ATACADO,ENTREGA TOTAL,1873,CADERNO ESPIRAL MELISSA PAUTADO 17X24 COLMEIA,"200,0",02/10/2024,2024-40,10,2024,10-2024,Wire-o Simples,200
7007.0,15173-2,15173,2,EQ-1,RAYANE,SITE,ENTREGA TOTAL,1873,CADERNO ESPIRAL MELISSA PAUTADO 17X24 COLMEIA,"100,0",02/10/2024,2024-40,10,2024,10-2024,Wire-o Simples,100
7008.0,15154-2,15154,2,EQ-1,RAYANE,ATACADO,ENTREGA TOTAL,7615,CADERNO ESPIRAL ASTRAL PAUTADO 20X28 MARÉ OFF WHITE 80 FLS,"350,0",02/10/2024,2024-40,10,2024,10-2024,Wire-o Simples,350
7010.0,15177-2,15177,2,EQ-1,RAYANE,ATACADO,ENTREGA TOTAL,7134,CADERNO ESPIRAL MELISSA PAUTADO 17X24 CASA DAS ABELHAS LILÁS 80 FLS,"400,0",03/10/2024,2024-40,10,2024,10-2024,Wire-o Simples,400
7012.0,15261-1,15261,1,EQ-2,DEYVSON,ATACADO,ENTREGA TOTAL,6719,CADERNETA CICEROS CLÁSSICA PASTEL PONTADO 14X21 ROSA,"250,0",01/10/2024,2024-40,10,2024,10-2024,Brochura,250
7013.0,15181-2,15181,2,EQ-2,DEYVSON,ATACADO,ENTREGA TOTAL,7561,CADERNO ESPIRAL CLÁSSICA PAUTADO 17X24 PRETA 160 FLS,"150,0",02/10/2024,2024-40,10,2024,10-2024,Wire-o Simples,150
7015.0,15174-1,15174,1,EQ-2,DEYVSON,ATACADO,ENTREGA TOTAL,5543,CADERNO ESPIRAL BOSSA NOVA PAUTADO 17X24 BOEMIA,"200,0",03/10/2024,2024-40,10,2024,10-2024,Wire-o Simples,200
7016.0,15196-2,15196,2,EQ-3,ROSE,ATACADO,ENTREGA TOTAL,7738,CADERNO ESPIRAL KEMILY PAUTADO 17X24 DESPERTE VERDE 80 FLS,"100,0",04/10/2024,2024-40,10,2024,10-2024,Wire-o Simples,100
7017.0,15196-3,15196,3,EQ-3,ROSE,SITE,ENTREGA TOTAL,7738,CADERNO ESPIRAL KEMILY PAUTADO 17X24 DESPERTE VERDE 80 FLS,"55,0",04/10/2024,2024-40,10,2024,10-2024,Wire-o Simples,55
7018.0,15192-2,15192,2,EQ-2,DEYVSON,ATACADO,ENTREGA TOTAL,7691,CADERNO ESPIRAL MELISSA PAUTADO 20X28 COLMEIA 160 FLS,"300,0",04/10/2024,2024-40,10,2024,10-2024,Wire-o Simples,300
7020.0,15140-1,15140,1,EQ-3,ROSE,ATACADO,ENTREGA TOTAL,6878,CADERNETA CICEROS MELISSA PAUTADO 14X21 FAVO DE ABELHAS,"350,0",01/10/2024,2024-40,10,2024,10-2024,Brochura,350
7021.0,15191-2,15191,2,EQ-3,ROSE,ATACADO,ENTREGA TOTAL,7684,CADERNO ESPIRAL KEMILY PAUTADO 20X28 ORGANIZE OFF WHITE160 FLS,"100,0",01/10/2024,2024-40,10,2024,10-2024,Wire-o Simples,100
