Unnamed: 0,jan.-23,fev.-23,mar.-23,abr.-23,mai.-23,jun.-23,jul.-23,ago.-23,set.-23,out.-23,nov.-23,dez.-23,jan.-24,fev.-24,mar.-24,abr.-24,mai.-24,jun.-24,jul.-24,ago.-24,set.-24,out.-24,nov.-24,dez.-24,jan.-25,fev.-25,mar.-25,abr.-25,mai.-25,jun.-25,jul.-25
Bruto c/ Férias,8679.7,7936.75,9241.01,10784.06,9789.34,9732.83,9864.85,10021.31,9253.96,8594.65,8339.87,9724.66,9606.11,9903.41,6675.70,8454.12,6719.12,8595.90,6696.90,6380.10,6914.06,7248.78,6873.57,6914.64,6426.70,6972.39,8475.41,6699.11,6699.11,6699.11,6699.11
Gratificação,6285.15,6197.49,6197.49,3098.75,6197.49,6904.63,4231.38,6904.63,6904.63,6811.61,6737.18,6904.63,6948.65,7180.80,3220.46,3375.33,3661.75,6611.80,4200.00,4200.00,4200.00,7573.15,4200.00,3750.00,4200.00,4410.00,2849.29,6829.90,6830.00,6830.00,6830.00
1/3 Férias + 13º,1687.71,1585.51,1743.47,1542.53,1776.31,1848.61,1679.30,1839.19,1844.83,1760.92,1675.23,1954.36,1905.31,1964.08,1188.47,1378.18,1416.91,1925.92,1460.98,1514.49,1501.96,1860.59,1608.70,1492.96,1519.32,1627.18,1789.00,1819.26,1822.89,2095.77,2189.54
FGTS,712.34,645.77,759.50,862.72,783.15,778.63,870.59,771.85,775.91,722.93,667.19,854.77,815.93,839.67,598.06,722.26,668.70,782.58,635.35,660.67,652.28,674.55,705.90,622.65,661.05,681.95,754.85,635.27,638.34,678.85,694.64
FGTS + Rescisão,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,40738.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comissão Vendas,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plano de Saúde,267.79,267.79,267.79,250.63,250.63,250.63,250.63,250.63,250.63,250.63,250.63,250.63,250.63,250.63,250.63,250.63,250.63,274.49,274.49,274.49,274.49,274.49,274.49,274.49,274.49,274.49,274.49,274.49,274.49,339.66,339.66
Vale Alimentação,1500.64,1446.40,976.32,2178.54,721.44,1891.89,1968.33,1758.12,1528.80,1681.68,1586.13,1528.80,1681.68,1452.36,1650.40,695.45,1331.29,1251.81,1828.04,1311.42,1271.68,1390.90,1251.81,1072.98,1172.33,1231.94,840.00,1260.00,1323.00,1323.00,1407.00
Desconto  VT,423.45,381.83,381.83,222.18,373.69,410.71,332.45,256.34,477.30,437.60,422.84,477.30,477.30,489.12,496.38,101.47,287.90,383.26,277.06,277.06,245.45,288.87,232.92,277.06,279.86,271.53,164.85,290.92,290.92,198.22,290.92
VT,1209.2,1242.70,1209.20,777.60,976.30,388.80,1140.70,1253.30,993.60,864.00,959.00,889.90,864.00,950.40,820.80,864.00,310.80,569.80,543.90,793.50,378.40,352.60,395.60,361.20,309.60,344.00,404.20,253.80,394.80,394.80,404.20
Total,19919.08,18940.58,20012.95,19272.65,20120.97,21385.31,19673.33,22542.69,21075.06,20248.82,19792.39,21630.45,21595.01,22052.23,54646.63,15638.50,14224.92,20428.97,14680.49,14376.96,15083.84,18955.70,14812.31,14294.01,14851.26,14788.28,15614.19,17684.91,17691.72,18256.37,18564.15
